1000,15-03-2015,sausage
1000,15-03-2015,semi-finished bread
1000,15-03-2015,whole milk
1000,15-03-2015,yogurt
1000,24-06-2014,pastry
1000,24-06-2014,salty snack
1000,24-06-2014,whole milk
1000,24-07-2015,canned beer
1000,24-07-2015,misc. beverages
1000,25-11-2015,hygiene articles
1000,25-11-2015,sausage
1000,27-05-2015,pickled vegetables
1000,27-05-2015,soda
1001,02-05-2015,curd
1001,02-05-2015,frankfurter
1001,07-02-2014,rolls/buns
1001,07-02-2014,sausage
1001,07-02-2014,whole milk
1001,12-12-2014,soda
1001,12-12-2014,whole milk
1001,14-04-2015,beef
1001,14-04-2015,white bread
1001,20-01-2015,frankfurter
1001,20-01-2015,soda
1001,20-01-2015,whipped/sour cream
1002,09-02-2014,frozen vegetables
1002,09-02-2014,other vegetables
1002,26-04-2014,butter
1002,26-04-2014,whole milk
1002,26-04-2015,sugar
1002,26-04-2015,tropical fruit
1002,30-08-2015,butter milk
1002,30-08-2015,specialty chocolate
1003,10-02-2015,rolls/buns
1003,10-02-2015,sausage
1003,15-10-2014,detergent
1003,15-10-2014,root vegetables
1003,19-01-2014,dental care
1003,19-01-2014,frozen meals
1003,27-02-2014,rolls/buns
1003,27-02-2014,rolls/buns
1004,01-05-2014,cling film/bags
1004,01-05-2014,dish cleaner
1004,01-07-2014,canned beer
1004,01-07-2014,frozen fish
1004,02-12-2015,hygiene articles
1004,02-12-2015,other vegetables
1004,04-02-2014,pip fruit
1004,04-02-2014,tropical fruit
1004,04-02-2014,whole milk
1004,10-06-2014,chocolate
1004,10-06-2014,red/blush wine
1004,10-06-2014,rolls/buns
1004,10-07-2014,other vegetables
1004,10-07-2014,shopping bags
1004,13-10-2014,chocolate
1004,13-10-2014,packaged fruit/vegetables
1004,13-10-2014,rolls/buns
1004,13-10-2014,whole milk
1004,19-08-2014,pastry
1004,19-08-2014,root vegetables
1004,19-08-2014,whole milk
1005,09-01-2014,rolls/buns
1005,09-01-2014,rolls/buns
1005,23-01-2014,margarine
1005,23-01-2014,whipped/sour cream
1006,05-07-2014,bottled water
1006,05-07-2014,rolls/buns
1006,05-07-2014,softener
1006,09-04-2014,rice
1006,09-04-2014,whole milk
1006,11-07-2014,shopping bags
1006,11-07-2014,skin care
1006,14-06-2015,bottled beer
1006,14-06-2015,chicken
1006,14-06-2015,chocolate
1006,14-06-2015,flour
1006,14-06-2015,frankfurter
1006,14-06-2015,frankfurter
1006,14-06-2015,rolls/buns
1006,14-06-2015,whole milk
1008,03-10-2015,dessert
1008,03-10-2015,hamburger meat
1008,03-10-2015,liquor (appetizer)
1008,03-10-2015,liver loaf
1008,21-07-2015,domestic eggs
1008,21-07-2015,photo/film
1008,21-07-2015,root vegetables
1008,21-07-2015,soda
1008,21-07-2015,tropical fruit
1008,21-07-2015,white wine
1008,21-07-2015,yogurt
1008,21-07-2015,yogurt
1009,05-10-2015,herbs
1009,05-10-2015,newspapers
1009,05-10-2015,yogurt
1009,14-05-2015,tropical fruit
1009,14-05-2015,yogurt
1009,23-09-2015,ketchup
1009,23-09-2015,pastry
1009,24-01-2014,canned fish
1009,24-01-2014,cocoa drinks
1010,05-03-2014,coffee
1010,05-03-2014,pip fruit
1010,05-03-2014,UHT-milk
1010,10-04-2014,kitchen towels
1010,10-04-2014,sliced cheese
1010,23-08-2014,bottled water
1010,23-08-2014,specialty bar
1010,27-08-2014,bottled water
1010,27-08-2014,frankfurter
1010,31-07-2015,candles
1010,31-07-2015,pip fruit
1010,31-07-2015,rolls/buns
1011,02-06-2014,curd cheese
1011,02-06-2014,pastry
1011,09-12-2015,candles
1011,09-12-2015,frankfurter
1011,09-12-2015,grapes
1011,09-12-2015,herbs
1011,09-12-2015,other vegetables
1011,09-12-2015,whole milk
1011,09-12-2015,yogurt
1011,15-02-2014,bottled water
1011,15-02-2014,candy
1011,15-02-2014,citrus fruit
1011,15-02-2014,rolls/buns
1012,03-10-2015,frankfurter
1012,03-10-2015,yogurt
1012,19-11-2015,onions
1012,19-11-2015,rolls/buns
1012,19-11-2015,root vegetables
1012,19-11-2015,shopping bags
1012,19-11-2015,tropical fruit
1012,22-06-2014,brown bread
1012,22-06-2014,frozen vegetables
1012,27-03-2015,processed cheese
1012,27-03-2015,whole milk
1013,02-07-2015,frozen meals
1013,02-07-2015,whole milk
1013,02-10-2015,domestic eggs
1013,02-10-2015,meat
1013,02-10-2015,roll products 
1013,02-10-2015,white bread
1013,12-11-2014,mayonnaise
1013,12-11-2014,root vegetables
1013,15-07-2014,mustard
1013,15-07-2014,other vegetables
1013,17-01-2014,bottled water
1013,17-01-2014,hard cheese
1013,17-01-2014,napkins
1013,20-02-2014,candy
1013,20-02-2014,whole milk
1013,26-03-2014,frozen vegetables
1013,26-03-2014,tropical fruit
1013,28-03-2014,mustard
1013,28-03-2014,whipped/sour cream
1014,03-10-2015,bottled beer
1014,03-10-2015,sausage
1014,03-10-2015,whole milk
1014,03-10-2015,yogurt
1014,04-01-2015,canned beer
1014,04-01-2015,cookware
1014,04-09-2014,butter milk
1014,04-09-2014,hamburger meat
1014,06-10-2014,rolls/buns
1014,06-10-2014,whole milk
1015,04-05-2015,citrus fruit
1015,04-05-2015,whole milk
1015,22-03-2015,beef
1015,22-03-2015,salty snack
1015,28-06-2014,chocolate
1015,28-06-2014,fruit/vegetable juice
1015,28-06-2014,rolls/buns
1016,05-10-2015,bottled beer
1016,05-10-2015,UHT-milk
1016,19-07-2015,chicken
1016,19-07-2015,red/blush wine
1016,23-04-2015,pip fruit
1016,23-04-2015,soft cheese
1016,30-09-2015,frankfurter
1016,30-09-2015,mayonnaise
1016,30-09-2015,oil
1016,30-09-2015,pip fruit
1016,30-09-2015,rolls/buns
1017,14-10-2014,brown bread
1017,14-10-2014,pet care
1017,16-05-2015,other vegetables
1017,16-05-2015,rolls/buns
1017,19-06-2014,beef
1017,19-06-2014,yogurt
1017,21-02-2014,other vegetables
1017,21-02-2014,root vegetables
1017,30-09-2015,dessert
1017,30-09-2015,shopping bags
1017,30-09-2015,soda
1018,01-10-2014,curd
1018,01-10-2014,long life bakery product
1018,15-04-2014,beverages
1018,15-04-2014,domestic eggs
